date,value
1.52E+09,5
1.52E+09,4
1.52E+09,4
1.52E+09,2
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.52E+09,4
1.52E+09,5
1.52E+09,5
1.52E+09,5
1.53E+09,2
1.53E+09,4
1.53E+09,5
1.53E+09,5
1.53E+09,5
1.53E+09,5
1.53E+09,5
